Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU1Hr1G090760.4,3,aBP11,2,1,2,1,133.5,133.5,25503.69309,25.50369309,25.50369309
HORVU1Hr1G091010.1,3,aBP11,2,1,2,1,133.5,133.5,5462.215276,5.462215276,5.462215276
HORVU1Hr1G091600.8,3,aBP11,2,1,2,1,133.5,133.5,148348.8679,148.3488679,148.3488679
HORVU1Hr1G092150.2,3,aBP11,2,1,2,1,133.5,133.5,7497.884885,7.497884885,7.497884885
HORVU1Hr1G095140.1,3,aBP11,2,1,2,1,133.5,133.5,13022.22271,13.02222271,13.02222271
HORVU1Hr1G095400.2,3,aBP11,2,1,2,1,133.5,133.5,94376.10417,94.37610417,94.37610417
HORVU2Hr1G002440.9,3,aBP11,2,1,2,1,133.5,133.5,215.8760264,0.215876026,0.215876026
HORVU2Hr1G005170.4,3,aBP11,2,1,2,1,133.5,133.5,127074.3747,127.0743747,127.0743747
HORVU2Hr1G005650.9,3,aBP11,2,1,2,1,133.5,133.5,2686.937989,2.686937989,2.686937989
HORVU2Hr1G010870.9,3,aBP11,2,1,2,1,133.5,133.5,9921.916495,9.921916495,9.921916495
HORVU2Hr1G010890.3,3,aBP11,2,1,2,1,133.5,133.5,119540.6219,119.5406219,119.5406219
HORVU2Hr1G013680.3,3,aBP11,2,1,2,1,133.5,133.5,22812.41026,22.81241026,22.81241026
HORVU2Hr1G016040.9,3,aBP11,2,1,2,1,133.5,133.5,20865.13942,20.86513942,20.86513942
HORVU2Hr1G017450.6,3,aBP11,2,1,2,1,133.5,133.5,133279.5061,133.2795061,133.2795061
HORVU2Hr1G017450.8,3,aBP11,2,1,2,1,133.5,133.5,115579.7734,115.5797734,115.5797734
HORVU2Hr1G017770.8,3,aBP11,2,1,2,1,133.5,133.5,27604.76729,27.60476729,27.60476729
HORVU2Hr1G018430.1,3,aBP11,2,1,2,1,133.5,133.5,162588.7487,162.5887487,162.5887487
HORVU2Hr1G018700.1,3,aBP11,2,1,2,1,133.5,133.5,23043.84921,23.04384921,23.04384921
HORVU2Hr1G018820.1,3,aBP11,2,1,2,1,133.5,133.5,14997.30968,14.99730968,14.99730968
HORVU2Hr1G019160.1,3,aBP11,2,1,2,1,133.5,133.5,14385.0976,14.3850976,14.3850976
HORVU2Hr1G019790.9,3,aBP11,2,1,2,1,133.5,133.5,40319.15748,40.31915748,40.31915748
HORVU2Hr1G020270.4,3,aBP11,2,1,2,1,133.5,133.5,29654.20682,29.65420682,29.65420682
HORVU2Hr1G021110.1,3,aBP11,2,1,2,1,133.5,133.5,111518.2025,111.5182025,111.5182025
HORVU2Hr1G022090.4,3,aBP11,2,1,2,1,133.5,133.5,122218.4831,122.2184831,122.2184831
HORVU2Hr1G023590.11,3,aBP11,2,1,2,1,133.5,133.5,31504.79446,31.50479446,31.50479446
HORVU2Hr1G023590.3,3,aBP11,2,1,2,1,133.5,133.5,417123.8498,417.1238498,417.1238498
HORVU2Hr1G025930.2,3,aBP11,2,1,2,1,133.5,133.5,9058.344774,9.058344774,9.058344774
HORVU2Hr1G026810.1,3,aBP11,2,1,2,1,133.5,133.5,626080.346,626.080346,626.080346
HORVU2Hr1G029870.4,3,aBP11,2,1,2,1,133.5,133.5,1433.462267,1.433462267,1.433462267
HORVU2Hr1G030870.1,3,aBP11,2,1,2,1,133.5,133.5,326581.4188,326.5814188,326.5814188
HORVU2Hr1G030880.3,3,aBP11,2,1,2,1,133.5,133.5,18373.96561,18.37396561,18.37396561
HORVU2Hr1G031450.7,3,aBP11,2,1,2,1,133.5,133.5,45128.96092,45.12896092,45.12896092
HORVU2Hr1G033100.1,3,aBP11,2,1,2,1,133.5,133.5,7230.820014,7.230820014,7.230820014
HORVU2Hr1G036950.1,3,aBP11,2,1,2,1,133.5,133.5,6799.012947,6.799012947,6.799012947
HORVU2Hr1G040570.2,3,aBP11,2,1,2,1,133.5,133.5,32684.33752,32.68433752,32.68433752
HORVU2Hr1G042280.4,3,aBP11,2,1,2,1,133.5,133.5,10094.53488,10.09453488,10.09453488
HORVU2Hr1G043890.6,3,aBP11,2,1,2,1,133.5,133.5,74659.87752,74.65987752,74.65987752
HORVU2Hr1G043900.3,3,aBP11,2,1,2,1,133.5,133.5,90627.75405,90.62775405,90.62775405
HORVU2Hr1G045340.1,3,aBP11,2,1,2,1,133.5,133.5,110680.6603,110.6806603,110.6806603
HORVU2Hr1G052880.2,3,aBP11,2,1,2,1,133.5,133.5,4563.13715,4.56313715,4.56313715
HORVU2Hr1G056360.4,3,aBP11,2,1,2,1,133.5,133.5,30541.78371,30.54178371,30.54178371
HORVU2Hr1G059620.1,3,aBP11,2,1,2,1,133.5,133.5,14457.43431,14.45743431,14.45743431
HORVU2Hr1G061040.9,3,aBP11,2,1,2,1,133.5,133.5,4396.657341,4.396657341,4.396657341
HORVU2Hr1G063210.3,3,aBP11,2,1,2,1,133.5,133.5,31060.47878,31.06047878,31.06047878
HORVU2Hr1G063880.5,3,aBP11,2,1,2,1,133.5,133.5,4993.529514,4.993529514,4.993529514
HORVU2Hr1G065120.2,3,aBP11,2,1,2,1,133.5,133.5,92460.787,92.460787,92.460787
HORVU2Hr1G067370.7,3,aBP11,2,1,2,1,133.5,133.5,74892.06441,74.89206441,74.89206441
HORVU2Hr1G070140.4,3,aBP11,2,1,2,1,133.5,133.5,10405.60161,10.40560161,10.40560161
HORVU2Hr1G072500.34,3,aBP11,2,1,2,1,133.5,133.5,16929.8913,16.9298913,16.9298913
HORVU2Hr1G072660.2,3,aBP11,2,1,2,1,133.5,133.5,14357.52852,14.35752852,14.35752852
HORVU2Hr1G073150.3,3,aBP11,2,1,2,1,133.5,133.5,3761.179679,3.761179679,3.761179679
HORVU2Hr1G073760.2,3,aBP11,2,1,2,1,133.5,133.5,21716.72107,21.71672107,21.71672107
HORVU2Hr1G077120.8,3,aBP11,2,1,2,1,133.5,133.5,64403.1169,64.4031169,64.4031169
HORVU2Hr1G077710.2,3,aBP11,2,1,2,1,133.5,133.5,74441.59985,74.44159985,74.44159985
HORVU2Hr1G080070.3,3,aBP11,2,1,2,1,133.5,133.5,7653.410902,7.653410902,7.653410902
HORVU2Hr1G080340.2,3,aBP11,2,1,2,1,133.5,133.5,15657.99592,15.65799592,15.65799592
HORVU2Hr1G080630.8,3,aBP11,2,1,2,1,133.5,133.5,31958.83019,31.95883019,31.95883019
HORVU2Hr1G081230.1,3,aBP11,2,1,2,1,133.5,133.5,573.6101198,0.57361012,0.57361012
HORVU2Hr1G084130.4,3,aBP11,2,1,2,1,133.5,133.5,70197.50441,70.19750441,70.19750441
HORVU2Hr1G086360.4,3,aBP11,2,1,2,1,133.5,133.5,24890.55066,24.89055066,24.89055066
HORVU2Hr1G086390.6,3,aBP11,2,1,2,1,133.5,133.5,28834.51795,28.83451795,28.83451795
HORVU2Hr1G087970.2,3,aBP11,2,1,2,1,133.5,133.5,58609.18345,58.60918345,58.60918345
HORVU2Hr1G088560.1,3,aBP11,2,1,2,1,133.5,133.5,41018.79963,41.01879963,41.01879963
HORVU2Hr1G088760.1,3,aBP11,2,1,2,1,133.5,133.5,73407.63784,73.40763784,73.40763784
HORVU2Hr1G089160.8,3,aBP11,2,1,2,1,133.5,133.5,1311.194406,1.311194406,1.311194406
HORVU2Hr1G090750.1,3,aBP11,2,1,2,1,133.5,133.5,349568.0003,349.5680003,349.5680003
HORVU2Hr1G093030.1,3,aBP11,2,1,2,1,133.5,133.5,10496.54772,10.49654772,10.49654772
HORVU2Hr1G094510.1,3,aBP11,2,1,2,1,133.5,133.5,7364.847647,7.364847647,7.364847647
HORVU2Hr1G096960.1,3,aBP11,2,1,2,1,133.5,133.5,2954.696108,2.954696108,2.954696108
HORVU2Hr1G098160.3,3,aBP11,2,1,2,1,133.5,133.5,104493.8871,104.4938871,104.4938871
HORVU2Hr1G099230.7,3,aBP11,2,1,2,1,133.5,133.5,24881.96543,24.88196543,24.88196543
HORVU2Hr1G099870.2,3,aBP11,2,1,2,1,133.5,133.5,16307.94873,16.30794873,16.30794873
HORVU2Hr1G100970.4,3,aBP11,2,1,2,1,133.5,133.5,5022.386653,5.022386653,5.022386653
HORVU2Hr1G102330.2,3,aBP11,2,1,2,1,133.5,133.5,5684.889257,5.684889257,5.684889257
HORVU2Hr1G103310.2,3,aBP11,2,1,2,1,133.5,133.5,34158.19988,34.15819988,34.15819988
HORVU2Hr1G105760.1,3,aBP11,2,1,2,1,133.5,133.5,1111.264547,1.111264547,1.111264547
HORVU2Hr1G108000.3,3,aBP11,2,1,2,1,133.5,133.5,8893.715423,8.893715423,8.893715423
HORVU2Hr1G110110.3,3,aBP11,2,1,2,1,133.5,133.5,2950.144204,2.950144204,2.950144204
HORVU2Hr1G110120.3,3,aBP11,2,1,2,1,133.5,133.5,95253.88838,95.25388838,95.25388838
HORVU2Hr1G111070.3,3,aBP11,2,1,2,1,133.5,133.5,16041.86472,16.04186472,16.04186472
HORVU2Hr1G113180.3,3,aBP11,2,1,2,1,133.5,133.5,409.6951677,0.409695168,0.409695168
HORVU2Hr1G113460.3,3,aBP11,2,1,2,1,133.5,133.5,5168.01008,5.16801008,5.16801008
HORVU2Hr1G117740.2,3,aBP11,2,1,2,1,133.5,133.5,14048.30765,14.04830765,14.04830765
HORVU2Hr1G120880.7,3,aBP11,2,1,2,1,133.5,133.5,3504.413595,3.504413595,3.504413595
HORVU2Hr1G121990.6,3,aBP11,2,1,2,1,133.5,133.5,28956.02014,28.95602014,28.95602014
HORVU2Hr1G122260.1,3,aBP11,2,1,2,1,133.5,133.5,537919.9421,537.9199421,537.9199421
